Card_UID,Card_SNO
2388490,250R001090
2388491,250R001091
2388492,250R001092
2388493,250R001093
2388494,250R001094
2388495,250R001095
2388496,250R001096
2388497,250R001097
2388498,250R001098
2388499,250R001099
2388500,250R001100
2388501,250R001101
2388502,250R001102
2388503,250R001103
2388504,250R001104
2388505,250R001105
2388506,250R001106
2388507,250R001107
2388508,250R001108
2388509,250R001109
2388510,250R001110
2388511,250R001111
2388512,250R001112
2388513,250R001113
2388514,250R001114
2388515,250R001115
2388516,250R001116
2388517,250R001117
2388518,250R001118
2388519,250R001119
2388520,250R001120
2388521,250R001121
2388522,250R001122
2388523,250R001123
2388524,250R001124
2388525,250R001125
2388526,250R001126
2388527,250R001127
2388528,250R001128
2388529,250R001129
2388530,250R001130
2388531,250R001131
2388532,250R001132
2388533,250R001133
2388534,250R001134
2388535,250R001135
2388536,250R001136
2388537,250R001137
2388538,250R001138
2388539,250R001139
2388540,250R001140
2388541,250R001141
2388542,250R001142
2388543,250R001143
2388544,250R001144
2388545,250R001145
2388546,250R001146
2388547,250R001147
2388548,250R001148
2388549,250R001149
2388550,250R001150
2388551,250R001151
2388552,250R001152
2388553,250R001153
2388554,250R001154
2388555,250R001155
2388556,250R001156
2388557,250R001157
2388558,250R001158
2388559,250R001159
2388560,250R001160
2388561,250R001161
2388562,250R001162
2388563,250R001163
2388564,250R001164
2388565,250R001165
2388566,250R001166
2388567,250R001167
2388568,250R001168
2388569,250R001169
2388570,250R001170
2388571,250R001171
2388572,250R001172
2388573,250R001173
2388574,250R001174
2388575,250R001175
2388576,250R001176
2388577,250R001177
2388578,250R001178
2388579,250R001179
2388580,250R001180
2388581,250R001181
2388582,250R001182
2388583,250R001183
2388584,250R001184
2388585,250R001185
2388586,250R001186
2388587,250R001187
2388588,250R001188
2388589,250R001189
2388590,250R001190
2388591,250R001191
2388592,250R001192
2388593,250R001193
2388594,250R001194
2388595,250R001195
2388596,250R001196
2388597,250R001197
2388598,250R001198
2388599,250R001199
2388600,250R001200
2388601,250R001201
2388602,250R001202
2388603,250R001203
2388604,250R001204
2388605,250R001205
2388606,250R001206
2388607,250R001207
2388608,250R001208
2388609,250R001209
2388610,250R001210
2388611,250R001211
2388612,250R001212
2388613,250R001213
2388614,250R001214
2388615,250R001215
2388616,250R001216
2388617,250R001217
2388618,250R001218
2388619,250R001219
2388620,250R001220
2388621,250R001221
2388622,250R001222
2388623,250R001223
2388624,250R001224
2388625,250R001225
2388626,250R001226
2388627,250R001227
2388628,250R001228
2388629,250R001229
2388630,250R001230
2388631,250R001231
2388632,250R001232
2388633,250R001233
2388634,250R001234
2388635,250R001235
2388636,250R001236
2388637,250R001237
2388638,250R001238
2388639,250R001239
2388640,250R001240
2388641,250R001241
2388642,250R001242
2388643,250R001243
2388644,250R001244
2388645,250R001245
2388646,250R001246
2388647,250R001247
2388648,250R001248
2388649,250R001249
2388650,250R001250
2388651,250R001251
2388652,250R001252
2388653,250R001253
2388654,250R001254
2388655,250R001255
2388656,250R001256
2388657,250R001257
2388658,250R001258
2388659,250R001259
2388660,250R001260
2388661,250R001261
2388662,250R001262
2388663,250R001263
2388664,250R001264
2388665,250R001265
2388666,250R001266
2388667,250R001267
2388668,250R001268
2388669,250R001269
2388670,250R001270
2388671,250R001271
2388672,250R001272
2388673,250R001273
2388674,250R001274
2388675,250R001275
2388676,250R001276
2388677,250R001277
2388678,250R001278
2388679,250R001279
2388680,250R001280
2388681,250R001281
2388682,250R001282
2388683,250R001283
2388684,250R001284
2388685,250R001285
2388686,250R001286
2388687,250R001287
2388688,250R001288
2388689,250R001289
2388690,250R001290
2388691,250R001291
2388692,250R001292
2388693,250R001293
2388694,250R001294
2388695,250R001295
2388696,250R001296
2388697,250R001297
2388698,250R001298
2388699,250R001299
2388700,250R001300
2388701,250R001301
2388702,250R001302
2388703,250R001303
2388704,250R001304
2388705,250R001305
2388706,250R001306
2388707,250R001307
2388708,250R001308
2388709,250R001309
2388710,250R001310
2388711,250R001311
2388712,250R001312
2388713,250R001313
2388714,250R001314
2388715,250R001315
2388716,250R001316
2388717,250R001317
2388718,250R001318
2388719,250R001319
2388720,250R001320
2388721,250R001321
2388722,250R001322
2388723,250R001323
2388724,250R001324
2388725,250R001325
2388726,250R001326
2388727,250R001327
2388728,250R001328
2388729,250R001329
2388730,250R001330
2388731,250R001331
2388732,250R001332
2388733,250R001333
2388734,250R001334
2388735,250R001335
2388736,250R001336
2388737,250R001337
2388738,250R001338
2388739,250R001339
2388740,250R001340
2388741,250R001341
2388742,250R001342
2388743,250R001343
2388744,250R001344
2388745,250R001345
2388746,250R001346
2388747,250R001347
2388748,250R001348
2388749,250R001349
2388750,250R001350
2388751,250R001351
2388752,250R001352
2388753,250R001353
2388754,250R001354
2388755,250R001355
2388756,250R001356
2388757,250R001357
2388758,250R001358
2388759,250R001359
2388760,250R001360
2388761,250R001361
2388762,250R001362
2388763,250R001363
2388764,250R001364
2388765,250R001365
2388766,250R001366
2388767,250R001367
2388768,250R001368
2388769,250R001369
2388770,250R001370
2388771,250R001371
2388772,250R001372
2388773,250R001373
2388774,250R001374
2388775,250R001375
2388776,250R001376
2388777,250R001377
2388778,250R001378
2388779,250R001379
2388780,250R001380
2388781,250R001381
2388782,250R001382
2388783,250R001383
2388784,250R001384
2388785,250R001385
2388786,250R001386
2388787,250R001387
2388788,250R001388
2388789,250R001389
2388790,250R001390
2388791,250R001391
2388792,250R001392
2388793,250R001393
2388794,250R001394
2388795,250R001395
2388796,250R001396
2388797,250R001397
2388798,250R001398
2388799,250R001399
2388800,250R001400
2388801,250R001401
2388802,250R001402
2388803,250R001403
2388804,250R001404
2388805,250R001405
2388806,250R001406
2388807,250R001407
2388808,250R001408
2388809,250R001409
2388810,250R001410
2388811,250R001411
2388812,250R001412
2388813,250R001413
2388814,250R001414
2388815,250R001415
2388816,250R001416
2388817,250R001417
2388818,250R001418
2388819,250R001419
2388820,250R001420
2388821,250R001421
2388822,250R001422
2388823,250R001423
2388824,250R001424
2388825,250R001425
2388826,250R001426
2388827,250R001427
2388828,250R001428
2388829,250R001429
2388830,250R001430
2388831,250R001431
2388832,250R001432
2388833,250R001433
2388834,250R001434
2388835,250R001435
2388836,250R001436
2388837,250R001437
2388838,250R001438
2388839,250R001439
2388840,250R001440
2388841,250R001441
2388842,250R001442
2388843,250R001443
2388844,250R001444
2388845,250R001445
2388846,250R001446
2388847,250R001447
2388848,250R001448
2388849,250R001449
2388850,250R001450
2388851,250R001451
2388852,250R001452
2388853,250R001453
2388854,250R001454
2388855,250R001455
2388856,250R001456
2388857,250R001457
2388858,250R001458
2388859,250R001459
2388860,250R001460
2388861,250R001461
2388862,250R001462
2388863,250R001463
2388864,250R001464
2388865,250R001465
2388866,250R001466
2388867,250R001467
2388868,250R001468
2388869,250R001469
2388870,250R001470
2388871,250R001471
2388872,250R001472
2388873,250R001473
2388874,250R001474
2388875,250R001475
2388876,250R001476
2388877,250R001477
2388878,250R001478
2388879,250R001479
2388880,250R001480
2388881,250R001481
2388882,250R001482
2388883,250R001483
2388884,250R001484
2388885,250R001485
2388886,250R001486
2388887,250R001487
2388888,250R001488
2388889,250R001489
2388890,250R001490
2388891,250R001491
2388892,250R001492
2388893,250R001493
2388894,250R001494
2388895,250R001495
2388896,250R001496
2388897,250R001497
2388898,250R001498
2388899,250R001499
2388900,250R001500
2388901,250R001501
2388902,250R001502
2388903,250R001503
2388904,250R001504
2388905,250R001505
2388906,250R001506
2388907,250R001507
2388908,250R001508
2388909,250R001509
2388910,250R001510
2388911,250R001511
2388912,250R001512
2388913,250R001513
2388914,250R001514
2388915,250R001515
2388916,250R001516
2388917,250R001517
2388918,250R001518
2388919,250R001519
2388920,250R001520
2388921,250R001521
2388922,250R001522
2388923,250R001523
2388924,250R001524
2388925,250R001525
2388926,250R001526
2388927,250R001527
2388928,250R001528
